Date,Profit/Losses
Jan-23,1088983
Feb-23,-354534
Mar-23,276622
Apr-23,-728133
May-23,852993
Jun-23,563721
Jul-23,-535208
Aug-23,632349
Sep-23,-173744
Oct-23,950741
Nov-23,-785750
Dec-23,-1194133
Jan-23,-589576
Feb-23,-883921
Mar-23,443564
Apr-23,837887
May-23,1081472
Jun-23,464033
Jul-23,-1066544
Aug-23,323846
Sep-23,-806551
Oct-23,487053
Nov-23,1128811
Dec-23,791398
Jan-23,739367
Feb-23,-197825
Mar-23,666016
Apr-23,589771
May-23,489290
Jun-23,-471439
Jul-23,120417
Aug-23,175347
Sep-23,855449
Oct-23,605195
Nov-23,-235220
Dec-23,347138
Jan-23,298510
Feb-23,163254
Mar-23,1141840
Apr-23,542630
May-23,99841
Jun-23,752765
Jul-23,-252949
Aug-23,914424
Sep-23,679524
Oct-23,514377
Nov-23,462102
Dec-23,159782
Jan-23,878810
Feb-23,-946748
Mar-23,340335
Apr-23,292032
May-23,502266
Jun-23,265852
Jul-23,851017
Aug-23,-549615
Sep-23,290162
Oct-23,755391
Nov-23,1073202
Dec-23,313000
Jan-23,241132
Feb-23,1036589
Mar-23,853904
Apr-23,-388932
May-23,982952
Jun-23,537759
Jul-23,547784
Aug-23,-496214
Sep-23,854181
Oct-23,934719
Nov-23,-288531
Dec-23,-184383
Jan-23,659541
Feb-23,-1149123
Mar-23,355882
Apr-23,662284
May-23,518681
Jun-23,-748256
Jul-23,-910775
Aug-23,951227
Sep-23,898241
Oct-23,-729004
Nov-23,-112209
Dec-23,516313
Jan-23,607208
Feb-23,382539
